"","District","Primary.Type","crime_count","arrest_count","arrest_rate"
"295",9,"WEAPONS VIOLATION",3262,1991,0.610361741263029
"296",10,"ARSON",284,19,0.0669014084507042
"297",10,"ASSAULT",9296,1618,0.174053356282272
"298",10,"BATTERY",26166,5291,0.202208973477031
"299",10,"BURGLARY",4104,245,0.0596978557504873
"300",10,"CONCEALED CARRY LICENSE VIOLATION",64,63,0.984375
"301",10,"CRIM SEXUAL ASSAULT",436,53,0.121559633027523
"302",10,"CRIMINAL DAMAGE",13081,914,0.0698723339194251
"303",10,"CRIMINAL SEXUAL ASSAULT",256,20,0.078125
"304",10,"CRIMINAL TRESPASS",2282,1513,0.663014899211218
"305",10,"DECEPTIVE PRACTICE",4161,309,0.0742609949531363
"306",10,"GAMBLING",224,222,0.991071428571429
"307",10,"HOMICIDE",418,129,0.308612440191388
"308",10,"HUMAN TRAFFICKING",1,0,0
"309",10,"INTERFERENCE WITH PUBLIC OFFICER",502,486,0.968127490039841
"310",10,"INTIMIDATION",79,10,0.126582278481013
"311",10,"KIDNAPPING",66,9,0.136363636363636
"312",10,"LIQUOR LAW VIOLATION",213,213,1
"313",10,"MOTOR VEHICLE THEFT",5169,490,0.0947958986264268
"314",10,"NARCOTICS",12962,12856,0.991822249652831
"315",10,"NON - CRIMINAL",4,0,0
"316",10,"NON-CRIMINAL",7,1,0.142857142857143
"317",10,"OBSCENITY",19,16,0.842105263157895
"318",10,"OFFENSE INVOLVING CHILDREN",1144,208,0.181818181818182
"319",10,"OTHER OFFENSE",7278,1887,0.259274525968673
"320",10,"PROSTITUTION",102,102,1
"321",10,"PUBLIC INDECENCY",5,5,1
"322",10,"PUBLIC PEACE VIOLATION",1349,1101,0.816160118606375
"323",10,"ROBBERY",5124,443,0.086455893832943
"324",10,"SEX OFFENSE",510,76,0.149019607843137
"325",10,"STALKING",87,13,0.149425287356322
"326",10,"THEFT",16817,1396,0.0830112386275792
"327",10,"WEAPONS VIOLATION",4274,3171,0.741927936359382
"328",11,"ARSON",351,21,0.0598290598290598
"329",11,"ASSAULT",12353,1935,0.156642111228042
"330",11,"BATTERY",34983,5754,0.164479890232399
"331",11,"BURGLARY",4412,206,0.0466908431550317
"332",11,"CONCEALED CARRY LICENSE VIOLATION",46,45,0.978260869565217
"333",11,"CRIM SEXUAL ASSAULT",555,47,0.0846846846846847
"334",11,"CRIMINAL DAMAGE",15444,958,0.062030562030562
"335",11,"CRIMINAL SEXUAL ASSAULT",324,25,0.0771604938271605
"336",11,"CRIMINAL TRESPASS",3156,1973,0.625158428390368
"337",11,"DECEPTIVE PRACTICE",5285,1004,0.189971617786187
"338",11,"GAMBLING",483,483,1
"339",11,"HOMICIDE",743,231,0.310901749663526
"340",11,"HUMAN TRAFFICKING",7,0,0
"341",11,"INTERFERENCE WITH PUBLIC OFFICER",1371,1294,0.943836615609045
"342",11,"INTIMIDATION",63,9,0.142857142857143
"343",11,"KIDNAPPING",71,6,0.0845070422535211
"344",11,"LIQUOR LAW VIOLATION",103,103,1
